Nama Produk;Nama Motor;Merk Motor;Warna Motor;Tahun Pembuatan;Provinsi;Harga;Kapasitas Mesin;Rentang Harga;;;;;;;;;;;;;;;;
Dijual Murah Motor Custom Honda Megapro 2012;megapro;honda;biru;2012;banten;20.000.000,00;120;15-30jt;;;;;;;;;;;;;;;;
Jual motor aerox 2018 warna merah;aerox;yamaha;merah;2018;jakarta;15.500.000,00;155;15-30jt;;;;;;;;;;;;;;;;
R15 modif R1 M;r15;yamaha;kuning;2014;jawa barat;15.000.000,00;150;<15jt;;;;;;;;;;;;;;;;
astrea C modif streetcub;astrea;honda;hitam;1990;yogyakarta;5.600.000,00;80;<15jt;;;;;;;;;;;;;;;;
Kawasaki Ninja RR 2010 PLAT B;ninja;kawasaki;merah;2010;jakarta;19.900.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Dijual Murah Motor PIAGGIO VESPA PS 150 ;vespa;piaggio;biru;1980;jakarta;17.500.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Dijual Honda Spacy Th 2012;spacy;honda;merah;2012;jakarta;6.700.000,00;110;<15jt;;;;;;;;;;;;;;;;
Jual CB150R Streetfire, mulus, merah putih;cb150r;honda;merah;2019;banten;19.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Vespa PTS 100 original;vespa;vespa;abu-abu;1980;banten;70.000.000,00;100;>60jt;;;;;;;;;;;;;;;;
Kawasaki ninja R 2013 putih superkips;ninja;kawasaki;putih;2013;jakarta;17.500.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Honda shadow 750;shadow;honda;putih;2004;jawa barat;69.000.000,00;750;>60jt;;;;;;;;;;;;;;;;
PCX 2020 KM 7000 mulus;pcx;honda;abu-abu;2020;jakarta;25.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Di Jual Honda Vario 125 FI 2013;vario;honda;lain-lain;2013;jawa barat;8.500.000,00;125;<15jt;;;;;;;;;;;;;;;;
Moge Yamaha R1 2014 Low KM, Tangan Pertama, Full Aksesoris.;moge;yamaha;abu-abu;2014;jakarta;290.000.000,00;1000;>60jt;;;;;;;;;;;;;;;;
Honda Vario 125 Tahun 2012, Masih Mulus, Surat-surat lengkap;vario;honda;hitam;2012;jawa timur;9.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
Yamaha Vixion tahun 2016;vixion;yamaha;hitam;2016;jakarta;12.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
FOR SALE NMAX ABS Connected 2020 MULUS!;n-max;yamaha;hitam;2020;jawa barat;29.000.000,00;155;15-30jt;;;;;;;;;;;;;;;;
MOTOR DIJUAL;supra;honda;hitam;2005;jawa tengah;4.850.000,00;125;<15jt;;;;;;;;;;;;;;;;
MOTOR DIJUAL;shooter;suzuki;hijau;2014;jawa tengah;6.950.000,00;110;<15jt;;;;;;;;;;;;;;;;
Astrea Grand 1995 Mooneyes;astrea;honda;biru;1990;jawa tengah;5.300.000,00;100;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Vespa Excel tahun 2001 original;vespa;vespa;hijau;2001;jawa barat;27.500.000,00;250;15-30jt;;;;;;;;;;;;;;;;
HONDA VARIO ISS 150 CC TH 2018;vario;honda;putih;2018;jakarta;15.800.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Motor YAMAHA BYSON MODIFIKASI ;byson;yamaha;putih;2012;jawa barat;15.500.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Honda beat tahun 2009;beat;honda;pink;2009;banten;5.750.000,00;110;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Ninja 250R SE Antik KM 1029;ninja;kawasaki;hijau;2010;yogyakarta;45.000.000,00;250;30-45jt;;;;;;;;;;;;;;;;
Honda CBR 250RR ABS 2019;cbr;honda;merah;2019;banten;57.800.000,00;250;45-60jt;;;;;;;;;;;;;;;;
Dijual Vario 125 tahun 2014;vario;honda;biru;2014;jakarta;8.000.000,00;125;<15jt;;;;;;;;;;;;;;;;
Dijual Murah Motor VESPA EXCLUSIVE2 TH 1995;vespa;vespa;abu-abu;1990;jawa tengah;28.500.000,00;100;15-30jt;;;;;;;;;;;;;;;;
Motor PIAGGIO VESPA PRIMAVERA 3v 150cc ;vespa;piaggio;biru;2014;jakarta;38.900.000,00;150;30-45jt;;;;;;;;;;;;;;;;
Dijual Murah Motor Vespa VBB2T Tahun 65;vespa;vespa;biru;1960;jawa barat;49.500.000,00;150;45-60jt;;;;;;;;;;;;;;;;
Vixion NVL 2013;vixion;yamaha;hitam;2013;jawa timur;10.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
Mio smile 2010;mio;yamaha;hijau;2010;jawa barat;3.500.000,00;115;<15jt;;;;;;;;;;;;;;;;
vespa Excel 96, istimewa;vespa;vespa;abu-abu;1990;jakarta;25.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Kawasaki Kaze R 1997;kaze r;kawasaki;hitam;1970;jawa tengah;3.750.000,00;110;<15jt;;;;;;;;;;;;;;;;
